dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01000322,6430,6328,6356,6304,6342,2471,6473,6186
Data Zone S01000323,5462,4780,5294,3693,5379,4101,4602,6108
Data Zone S01000324,6208,6340,6166,4629,4554,3837,6247,6350
Data Zone S01000325,5731,5631,6223,5036,5102,1863,4702,4871
Data Zone S01000326,4838,4315,4301,3642,3601,6097,5585,4536
Data Zone S01000327,6275,6280,6334,4987,5063,4722,5835,3296
Data Zone S01000328,4637,5188,5415,2906,2759,2069,4066,6236
Data Zone S01000329,3922,4408,4177,2893,2654,1907,4976,4785
Data Zone S01000330,5140,5444,6159,4665,6094,483,4668,5219
Data Zone S01000331,4078,4228,3454,4740,3502,2144,3753,3797
Data Zone S01000332,5430,5350,5330,5272,6024,2285,6077,1826
Data Zone S01000333,5374,6200,6406,6176,6312,249,4839,5209
Data Zone S01000334,5213,4756,5316,3730,4414,4263,4850,3716
Data Zone S01000335,4571,4543,4980,4983,3854,882,5859,5543
Data Zone S01000336,4954,5796,5663,5053,4348,509,4886,5388
Data Zone S01000337,5302,6203,6037,5668,5657,359,4381,6033
Data Zone S01000338,4431,4342,4894,4823,3017,1526,3850,4865
Data Zone S01000339,6019,5542,6047,5394,6027,2420,5152,5370
Data Zone S01000340,5278,6202,6266,5482,5840,369,2443,5538
Data Zone S01000341,4876,5178,5671,5885,5343,295,4201,6348
Data Zone S01000342,3762,3386,3275,3453,4235,3313,4043,2890
Data Zone S01000343,5255,5960,6410,6130,5631,292,3539,5627
Data Zone S01000344,4583,5630,5749,5435,4181,187,5206,5205
Data Zone S01000345,5921,6199,6077,4990,4819,2650,4275,4106
Data Zone S01000346,6270,5947,5616,5605,5995,5108,6002,3318
Data Zone S01000347,5214,6127,6401,5224,4604,527,1699,6068
Data Zone S01000348,6414,6403,6269,6252,5862,2947,5820,5599
Data Zone S01000349,5697,5149,6018,4780,4921,2862,4624,5340
Data Zone S01000350,6039,6370,6206,6046,5795,1191,6231,5908
Data Zone S01000351,6383,6277,6351,5613,5901,3771,6162,4029
Data Zone S01000352,6488,6360,6407,5389,6243,4916,6093,6122
Data Zone S01000353,6188,6220,6427,6284,6100,1297,6312,6405
Data Zone S01000354,4775,5073,5424,4162,5702,520,4887,5435
Data Zone S01000355,6389,6480,6337,5326,5315,3531,5827,6279
Data Zone S01000356,5152,6430,6352,6322,5340,159,3084,6431
Data Zone S01000357,6501,6449,6285,6418,6061,4861,5846,6487
Data Zone S01000358,6475,6445,6224,6278,6200,3460,6209,6458
Data Zone S01000359,6419,6495,6491,6435,6357,1930,6458,6444
Data Zone S01000360,3942,4577,5215,6120,4240,74,2253,5882
Data Zone S01000361,5505,5976,6288,5990,5871,467,4145,6315
Data Zone S01000362,5478,5713,6272,5747,5589,691,5625,4807
Data Zone S01000363,5497,6338,6375,6377,5869,298,4804,6342
Data Zone S01000364,4713,6024,6097,6095,5057,65,3975,5769
Data Zone S01000365,5205,5799,5915,5037,4885,720,4104,4921
Data Zone S01000366,5471,6128,6169,5628,5353,592,5530,5387
Data Zone S01000367,5574,6314,6222,5073,5642,805,3625,5000
Data Zone S01000368,5982,5222,5092,5682,5710,4911,5202,4838
Data Zone S01000369,4577,4960,5549,5270,3683,518,4058,5090
Data Zone S01000370,5208,5779,6158,4647,4649,716,6112,5031
Data Zone S01000371,4947,4379,5114,4343,4985,2222,5193,3789
Data Zone S01000372,5074,4081,4627,4991,4630,5970,4449,2476
Data Zone S01000373,6461,6230,6167,6455,5956,4815,6369,3953
Data Zone S01000374,6362,5565,5863,5987,5386,5335,6288,6111
Data Zone S01000375,3699,2916,3401,3251,3694,4545,2655,4761
Data Zone S01000376,3798,3568,3443,4161,2084,5337,2358,4074
Data Zone S01000377,5409,5835,6207,6486,6014,449,3968,4555
Data Zone S01000378,5340,5013,5354,5631,3069,4959,4229,2994
Data Zone S01000379,5358,6483,6366,6429,5607,220,5561,5545
Data Zone S01000380,5565,6295,6253,5996,4677,652,6178,5764
Data Zone S01000381,5746,5804,6343,5711,5114,1138,5726,5827
Data Zone S01000382,5138,5959,5891,6368,5759,248,3049,6023
Data Zone S01000383,4617,5568,5393,4549,4087,416,4933,5248
Data Zone S01000384,3503,3949,4134,3766,3989,433,2044,4644
Data Zone S01000385,4248,4150,4887,3906,4326,931,3393,4989
Data Zone S01000386,4550,5232,5533,4788,5133,458,4445,2077
Data Zone S01000387,4890,5531,5992,5459,4822,313,5559,4615
Data Zone S01000388,5212,5889,6376,5660,4749,431,4516,5221
Data Zone S01000389,5290,6163,6280,4843,4291,781,6364,4144
Data Zone S01000390,3210,2800,3109,4127,3078,2014,4074,3440
Data Zone S01000391,4817,3923,5208,4059,3969,3257,5486,4312
Data Zone S01000392,5474,6296,6480,5850,5011,538,5566,4417
Data Zone S01000393,4769,4892,3934,3873,4454,3722,6353,2944
Data Zone S01000394,4428,3718,4159,4656,3856,2994,5551,4157
Data Zone S01000395,5026,5260,5730,6366,5109,387,4336,6328
Data Zone S01000396,3030,2728,2554,2472,2844,4807,3648,4808
Data Zone S01000397,5006,4383,4264,3740,4855,4728,5484,5553
Data Zone S01000398,5436,6253,6421,5872,5183,453,4613,5303
Data Zone S01000399,3936,4486,3877,3113,4662,6335,4962,70
Data Zone S01000400,3959,3205,4328,3601,3157,6247,4083,1199
Data Zone S01000401,5246,6055,6185,6448,5476,253,4304,6445
Data Zone S01000402,5039,4455,4661,5026,4706,2538,4953,5350
Data Zone S01000403,5418,4559,5188,4947,4403,5140,5198,3625
Data Zone S01000404,6247,6233,5665,5750,4529,4405,5155,5928
Data Zone S01000405,5291,6359,6431,6434,4387,385,6128,4010
